date,rets,rv,bv
2014-07-31,5.8565632043795474e-5,7.651496044432987e-5,5.8872427728569836e-5
2014-08-01,3.10598296055623e-5,6.145263499925014e-5,6.93623908133635e-5
2014-08-04,9.407139688132269e-6,2.4307470390872652e-5,1.868504991556486e-5
2014-08-05,5.4374109946770877e-5,6.398929094462904e-5,7.150556965771175e-5
2014-08-06,2.101219227116896e-5,5.2301111950682136e-5,4.0767664707831174e-5
2014-08-07,2.852381305739885e-5,4.635309698185399e-5,4.898507867012294e-5
2014-08-08,6.6004750662052705e-6,2.5564055502893003e-5,2.508338628506325e-5
2014-08-11,5.760787729101161e-6,1.9292087261453096e-5,1.0193006142333636e-5
2014-08-12,1.1822958691833965e-5,1.9412765219723558e-5,1.661738223299934e-5
2014-08-13,3.692773123040358e-6,2.1289107809554963e-5,1.091340114175208e-5
2014-08-14,2.091234936933788e-6,8.759581485984425e-6,5.732770964559806e-6
2014-08-15,3.500644751792336e-5,4.791570258021344e-5,4.681269146527044e-5
2014-08-18,1.1935385673161437e-6,2.0905860828822718e-5,5.8926392243985605e-6
2014-08-19,9.473878651042466e-7,4.95587321554001e-6,4.358930612454901e-6
2014-08-20,4.608262449125604e-6,7.37883715921343e-6,7.5018799105977455e-6
2014-08-21,3.455928627153728e-6,1.0612896640388374e-5,8.133316661586426e-6
2014-08-22,9.841828633858386e-6,1.7285053894474026e-5,1.2724359773208125e-5
2014-08-25,2.350664647485923e-6,1.2105246004782742e-5,3.942401510350096e-6
2014-08-26,2.3120022284235085e-6,5.790066646570357e-6,3.226303536811321e-6
2014-08-27,3.6592224625991377e-6,4.537577669228053e-6,4.979460011733014e-6
2014-08-28,1.1762427181153674e-5,1.7635302050286817e-5,7.578140210393689e-6
2014-08-29,2.867273652877941e-6,6.359918306003861e-6,5.635183544550179e-6
2014-09-02,8.255745382979992e-6,1.0497587561274682e-5,1.2242298077918873e-5
2014-09-03,5.610738148227323e-6,1.0084900530193056e-5,9.048509387903478e-6
2014-09-04,8.463877907035098e-6,1.876858407695545e-5,1.5144378085374961e-5
2014-09-05,8.820464735697906e-6,2.5746764323764663e-5,1.9501304522251777e-5
2014-09-08,9.50586522372683e-6,9.84455350227833e-6,1.3742848881880496e-5
2014-09-09,1.819269513258489e-5,3.4062300568479035e-5,2.2693049377788636e-5
2014-09-10,9.977100090521394e-6,2.5027599490103456e-5,2.3618215304874705e-5
2014-09-11,8.513892512188704e-6,1.8125172370863124e-5,1.6387278634009417e-5
2014-09-12,1.4089755982361389e-5,2.010402440323389e-5,2.334847374939862e-5
2014-09-15,1.064442010817897e-5,1.837147142141859e-5,1.382182895128267e-5
2014-09-16,4.142988426988795e-6,2.2015567872991017e-5,1.6310967328837333e-5
2014-09-17,2.8110043707439157e-5,3.212985546000316e-5,5.534542510111666e-5
2014-09-18,4.3219682960429095e-6,1.2261345388826072e-5,1.0593334869975077e-5
2014-09-19,8.743405743107423e-6,2.0797225707051283e-5,1.1711321684852555e-5
2014-09-22,1.3076654217434574e-5,2.2336790462572538e-5,1.5186064876442888e-5
2014-09-23,1.5872599498459867e-5,2.0853631146390615e-5,2.294966652238917e-5
2014-09-24,5.9680675465292985e-6,2.0704091047299454e-5,1.6909992655596505e-5
2014-09-25,3.634100414183311e-5,5.61352724321015e-5,4.770518755137173e-5
2014-09-26,8.675421618967277e-6,2.666844364814311e-5,2.5230969171347482e-5
2014-09-29,6.577868171242834e-5,7.048556987439676e-5,3.885020531756524e-5
2014-09-30,2.1396622062260728e-5,3.8161110388113726e-5,3.5792731226726825e-5
2014-10-01,4.467404757553631e-5,8.04565279133626e-5,5.714583746399073e-5
2014-10-02,2.8845094871426456e-5,5.4874713472297684e-5,5.563654260239863e-5
2014-10-03,1.3328438209753688e-5,4.563502085625537e-5,5.172406791534484e-5
2014-10-06,1.889303145463999e-5,4.4310801610935075e-5,3.4473708435098264e-5
2014-10-07,6.0401326310898495e-5,7.07978729890113e-5,4.1560605176953094e-5
2014-10-08,2.2224039797448996e-5,8.543922584062079e-5,7.873080655401069e-5
2014-10-09,6.99591912372771e-5,0.00011048624145321259,0.00011923372807857519
2014-10-10,5.949475787063572e-5,0.00011016837778780242,0.0001124754356064445
2014-10-13,8.625544988852336e-5,0.00014967990273099583,0.00013789259699724507
2014-10-14,6.789907648997186e-5,0.0001391496041029997,0.00012817712099443126
